"Type.Of.Traveler","Seat.Type","Date.Flown","Recommended","Seat.Comfort","Cabin.Staff.Services","Food.Beverages","Inflight.Entertainment","Ground.Service","Wifi","Value.For.Money","Reviews","Total.Ratings","Verification","Origin","Destination"
"Family Leisure","Economy Class","03-23","no",1,2,3,1,2,3,1,"As a middle school math teacher, I saved for months for this trip and am so disappointed to loose one of our days of vacation. Here’s what happened. We drove 1.5 to get to the Indianapolis airport only to find out that our first flight (to Atlanta) was not going make in time to catch our next flight and we’re forced to reschedule our flight for the next day. So we had to drive home 1.5 hours to get to do it all again tomorrow morning. So, we lost one day at our all inclusive resort and we will not be refunded the $500 a night since we did not cancel 24 hours prior. What did we get from Delta, Sorry but at least we’re not going to charge you for rescheduling your flight. Seriously Delta, you can do better than that.",1.85714285714286,"Trip Verified","Indianapolis","Atlanta"
"Couple Leisure","Economy Class","03-23","yes",2,3,1,2,3,1,2," We flew from MBJ to DTW on 3/19/2023. My daughter accidentally left her Lululemon fanny pack with some valuables inside on the plane! She didn't realize until we were in Customs. We hustled to get to our gate (A76), where we were met by a super friendly desk agent. She was more than sympathetic and advised us of where to go. Unfortunately, the bag hadn't made it through Customs yet, so I had already accepted that we may never see the bag again, or at the very best, we would see be lucky enough to get it back days or weeks later. When our flight was slightly delayed, the agent at A76 said she would call the Delta help center, located outside of gate A43, again for us to see if it had cleared Customs. We had no sooner returned to our seats when our names were called over the PA system. The bag had been delivered to our gate! Wow, Delta, Way to come through for us! We are super appreciative and grateful. Thank you to everyone who assisted!!",2,"Trip Verified","Montego Bay","Detroit"
"Couple Leisure","First Class","03-23","no",1,1,1,1,1,1,1," We waited over an hour at the tarmac in ROC for a truck to de-iced the airplane and unfortunately because of this we lost our connection. We went to a Delta counter and they rescheduled us for a flight 8 hours after the original. I asked for food vouchers and they were denied because the flight was good and it wasn't their fault we landed late!",1,"Trip Verified","Sioux Falls","Atlanta"
"Couple Leisure","Economy Class","03-23","no",1,2,3,4,1,2,3,"  My partner and I have two First Class tickets and I have a Delta American Express card. We tried to access the Sky Lounge in Atlanta and were told there would be a $50 fee. Seriously? Not allowing First Class passengers to access the SkyLounge is cheap on Delta’s part. Build the brand, don’t count your pennies. Ridiculous and it definitely leaves a bad feeling.",2.28571428571429,"Not Verified","Cape Town","Atlanta"
"Business","First Class","12-22","no",4,5,1,2,3,4,1," My first flight was delayed which resulted in me missing my connecting flight. They provide you with a hotel and small food voucher, but the hotel does not even accept the voucher? It’s 24hrs before my next flight which means that I have to wait in the airport again. The inconvenience of it all and it is costing me extra money and time while it was their fault with zero to no compassion or trying to make it better. Not flying with them again!",2.85714285714286,"Trip Verified","Los Angeles","Myrtle Beach"
"Business","Economy Class","03-23","no",2,3,4,5,1,2,3,"  I have been a member of their frequent flyer program for 22 years. I have purchased first class tickets and have never asked for an upgrade. In 2021 I flew Delta so much that I achieved Platinum Status for 2022. Delta’s Platinum status provides a number of regional upgrades as a reward for flying so much over the course of a year. In July I knew what my travel schedule would be for the remainder of the year so I purchased tickets to travel for September, November and my annual Christmas trip home. I used the certificates to purchase first class seats for my travel dates. Then on the day of my Christmas travel I printed out my first-class tickets and boarding passes for the trip. I reached out to Delta to confirm my seats. At that point I was told that I needed one more pass to have first class seats for my round trip travel. I was told the young lady that I purchased the tickets in June and I have my tickets showing my travel in first class and my seat assignments for the round trip. I was passed along from agent to agent and finally I was told that the agent who booked the trip made a mistake and I would either have to pay $1,100 or 150,000 air miles to use the ticket that I had printed out. I was outraged to say the least. Even though I was told by every agent that I spoke with that it was Delta’s mistake and not mine. Reluctantly, I agreed to their demands and completed my trip however this episode left a really bad taste in my mouth and tarnished my opinion of Delta Airlines. For years I could have been flying US Air and landing in Florence which is closer to my family. However, I remained loyal to Delta because I liked their service. And I guess that is my fault because loyalty these days mean absolutely nothing these days.",2.85714285714286,"Not Verified","Atlanta","Orlando"
"Solo Leisure","Economy Class","02-23","no",4,5,1,2,3,4,5,"  Delays are becoming the norm on Delta flights. Delta usually overlooked their flights causing delays as they beg people to switch flights/travel plans. Today, we boarded our flight and still did not leave for 90 minutes later. The flight is a total of 90 minutes! This is so far the worst experience I’ve had with Delta. They are quick to not spite you to board if past boarding time but this extraordinary wait for no reason is unbelievable. An hours ago they said it was the water and we just would not have coffee. Here we are still here! This screams overbooking or poor scheduling if we should be at our destination already and so haven’t left! ",3.42857142857143,"Not Verified","Fort Myers","New York"
"Solo Leisure","Economy Class","03-23","yes",1,2,3,4,5,1,1,"  Check in was smooth in Ft Myers, however our flight was delayed by an hour due to ATC issues at LaGuardia, but that’s not the airline’s fault. I had a connecting flight to Boston that I missed due to the delay but they rebooked me on a new flight at the gate with no charge and no hesitation. I was satisfied with the level of customer service I received. When we landed in LaGuardia, Delta put my bags on the flight I was supposed to be on originally to Boston, so my bags got there before I did, which I was happy about. On the flight to Boston, I got a whole row to myself, and the pilots were very informative and very professional upon landing the plane in bad weather. The whole experience was great.",2.42857142857143,"Not Verified","Washington","Lima"
"Business","Economy Class","03-23","no",2,1,1,2,3,1,1," My flight got delayed, I was supposed to arrive to Lima tomorrow at 5am est and now they want to book me for 10:45pm est. I had another fly from Lima to Chile Santiago at 9am est. Delta representative said they can rebook me without any fees unless is greater than 24hrs he told me to read the agreement. They can do whatever they want because there is no other airline available at this time. I will never fly with them again, worst part is I called them and they told me my fly is scheduled to arrive at 4:25pm so I bought another ticket from Lima to Chile at 6:25 pm - guess what, at the counter I was told that it was a mistake and that I m supposed to arrive at 4:25am to Miami and from there to lima at 10:45pm - this is corporate evil at its max. Save yourself some headaches.",1.57142857142857,"Trip Verified","Phoenix","Detroit"
"Family Leisure","Premium Economy","03-23","no",1,2,1,2,3,4,5," First off I am generally a fan of Delta - but 2 days ago they really dropped the ball I have been an incredibly loyal customer for many years – and generally will not fly other airlines However Delta totally messed me up yesterday (because you did not have enough staff for the flight I was originally scheduled on) to return to Michigan. Delta offered me an unacceptable alternative – to return March 6, 2023. I had to get back March 5 – and incurred a 1500 dollar expense and major inconvenience to do so, additionally I had to be picked up in Detroit (at 11:30 PM) and driven back to Lansing as the DTW to Lansing flight was missed; I received an email from customer care requesting I submit receipts for costs incurred in Delta cancelling my flight – which I did this AM. They offered to reimburse me 57 dollars. Additionally in communication with the customer care rep I was admonished for emailing and asking to have this escalated to someone who could make a decision on reimbursement. First off, If the costs were not reimbursable then whey did they request I sent receipts in for them in? Second it the original person who is ""customer care"" is not helpful there is no opportunity to escalate to someone more senior. If find this to be totally unacceptable and not what I'm used to with Delta",2.57142857142857,"Trip Verified","New York","Raleigh"
